,genre,average_rating
18,Film-Noir,3.920114942528736
13,War,3.8082938876312
15,Documentary,3.797785069729286
8,Crime,3.658293867274144
6,Drama,3.6561844113718758
11,Mystery,3.632460255407871
1,Animation,3.6299370349170004
16,IMAX,3.618335343787696
17,Western,3.583937823834197
14,Musical,3.5636781053649105
0,Adventure,3.5086089151939075
5,Romance,3.5065107040388437
9,Thriller,3.4937055799183425
4,Fantasy,3.4910005070136894
12,Sci-Fi,3.455721162210752
7,Action,3.447984331646809
2,Children,3.412956125108601
3,Comedy,3.3847207640898267
10,Horror,3.258195034974626
